genre,total_ventas_millones,nota_meta,nota_user,cantidad_juegos
"Visual Novel",1.31,76.68,74.55,31
Role-Playing,66.66,74.24,70.66,404
Platform,20.85,74.43,70.58,154
Action-Adventure,59.92,74.28,69.1,299
Music,14.96,75.11,68.29,41
Adventure,13.66,73.18,67.91,331
Strategy,4.74,74.63,67.89,183
Action,100.78,71.76,67.42,451
Simulation,14,72.77,66.54,133
Fighting,20.02,73.18,66.29,93
MMO,4.55,80.72,66.22,18
Puzzle,3.25,75.25,65.58,121
"Board Game",0,66.33,63.17,6
Misc,22.45,71.77,62.95,88
Party,2.7,69.83,62.07,30
Shooter,144.01,71.31,60.91,261
Racing,25.15,71.43,59.82,127
Sports,150.5,71.79,53.61,117
