titulo,genero,ventas_no_japon,meta_critica,user_critica
"red dead redemption 2",Action-Adventure,19.5,97,89
"fallout 4",Role-Playing,13.23,87,70
"battlefield 1",Shooter,12.85,88,74
"namco museum",Misc,7.55,72,74
"tom clancys the division",Shooter,7.3,80,70
"tom clancys rainbow six siege",Shooter,7,73,70
"crash bandicoot n sane trilogy",Platform,6.5,80,84
"assassins creed origins",Action,6.44,81,73
"lego jurassic world",Action,5.59,70,73
"batman arkham knight",Action,5.56,87,81
"mortal kombat x",Fighting,5.29,83,77
"final fantasy xv",Role-Playing,5.15,81,74
"the elder scrolls v skyrim special edition",Role-Playing,5.11,84,83
"microsoft flight simulator",Simulation,5.11,91,72
"watch dogs 2",Action,4.6,82,76
"lego dimensions",Action,4.23,80,73
"dead space",Shooter,4.01,89,84
"rocket league",Sports,3.92,85,81
"dying light",Action,3.78,74,80
"metal gear solid v the phantom pain",Action,3.51,93,81
"the elder scrolls online tamriel unlimited",MMO,3.43,74,75
"gears of war 4",Shooter,3.39,84,71
"titanfall 2",Shooter,3.22,89,85
"dishonored 2",Action,3.08,88,80
"lego marvels avengers",Action,3.08,71,72
"lego star wars the force awakens",Action-Adventure,3.04,78,71
"wwe 2k16",Sports,2.95,73,72
"spyro reignited trilogy",Platform,2.83,82,83
"injustice 2",Fighting,2.61,87,79
"shadow of the tomb raider",Action-Adventure,2.46,75,73
"rise of the tomb raider",Adventure,2.37,86,81
"south park the fractured but whole",Role-Playing,2.2,79,78
"wolfenstein ii the new colossus",Shooter,2.17,87,74
"shadow of the colossus",Action-Adventure,2.09,91,78
"borderlands the handsome collection",Shooter,1.94,82,78
"forza horizon 4",Racing,1.84,92,83
"project cars",Racing,1.78,83,72
"plants vs zombies garden warfare 2",Shooter,1.55,80,83
"mlb 15 the show",Sports,1.47,80,77
"lego harry potter collection",Action,1.44,73,74
"destroy all humans",Adventure,1.41,70,77
"the evil within 2",Action,1.34,76,81
"bioshock the collection",Shooter,1.31,84,86
"persona 5",Role-Playing,1.27,93,89
"pro evolution soccer 2016",Sports,1.24,87,72
"lego dc supervillains",Action-Adventure,1.21,74,73
"xenoblade chronicles",Role-Playing,1.18,86,84
"the last guardian",Action-Adventure,1.17,82,80
"the elder scrolls v skyrim vr",Role-Playing,1.13,77,81
"deus ex mankind divided",Role-Playing,1.11,84,77
"assassins creed the ezio collection",Action,1.05,72,82
hitman,Action,1.02,84,78
"pro evolution soccer 2017",Sports,1,85,74
"resident evil revelations 2",Action,0.87,75,76
"dragon quest xi echoes of an elusive age",Role-Playing,0.61,86,84
