titulo,genero,ventas_japon,meta_critica,user_critica
"dragon quest xi echoes of an elusive age",Role-Playing,1.43,86,84
"final fantasy xv",Role-Playing,1.06,81,74
"persona 5",Role-Playing,0.62,93,89
"metal gear solid v the phantom pain",Action,0.52,93,81
"tom clancys rainbow six siege",Shooter,0.36,73,70
"resident evil revelations 2",Action,0.36,75,76
"battlefield 1",Shooter,0.31,88,74
"pro evolution soccer 2016",Sports,0.3,87,72
"fallout 4",Role-Playing,0.29,87,70
"xenoblade chronicles",Role-Playing,0.29,86,84
"shadow of the colossus",Action-Adventure,0.29,91,78
"pro evolution soccer 2017",Sports,0.26,85,74
"red dead redemption 2",Action-Adventure,0.21,97,89
"tom clancys the division",Shooter,0.16,80,70
"dying light",Action,0.14,74,80
"the last guardian",Action-Adventure,0.13,82,80
"watch dogs 2",Action,0.12,82,76
"batman arkham knight",Action,0.11,87,81
"assassins creed origins",Action,0.11,81,73
"the evil within 2",Action,0.09,76,81
"crash bandicoot n sane trilogy",Platform,0.09,80,84
"lego jurassic world",Action,0.09,70,73
"lego star wars the force awakens",Action-Adventure,0.08,78,71
"the elder scrolls v skyrim special edition",Role-Playing,0.08,84,83
"titanfall 2",Shooter,0.06,89,85
"shadow of the tomb raider",Action-Adventure,0.06,75,73
hitman,Action,0.06,84,78
"namco museum",Misc,0.05,72,74
"lego marvels avengers",Action,0.05,71,72
"rise of the tomb raider",Adventure,0.05,86,81
"project cars",Racing,0.04,83,72
"bioshock the collection",Shooter,0.03,84,86
"borderlands the handsome collection",Shooter,0.03,82,78
"assassins creed the ezio collection",Action,0.02,72,82
"forza horizon 4",Racing,0.01,92,83
"the elder scrolls v skyrim vr",Role-Playing,0.01,77,81
"dishonored 2",Action,0.01,88,80
"deus ex mankind divided",Role-Playing,0.01,84,77
"wolfenstein ii the new colossus",Shooter,0.01,87,74
"microsoft flight simulator",Simulation,0,91,72
"plants vs zombies garden warfare 2",Shooter,0,80,83
"mlb 15 the show",Sports,0,80,77
"lego dimensions",Action,0,80,73
"lego dc supervillains",Action-Adventure,0,74,73
"rocket league",Sports,0,85,81
"injustice 2",Fighting,0,87,79
"mortal kombat x",Fighting,0,83,77
"south park the fractured but whole",Role-Playing,0,79,78
"gears of war 4",Shooter,0,84,71
"the elder scrolls online tamriel unlimited",MMO,0,74,75
"lego harry potter collection",Action,0,73,74
"destroy all humans",Adventure,0,70,77
"dead space",Shooter,0,89,84
"wwe 2k16",Sports,0,73,72
"spyro reignited trilogy",Platform,0,82,83
